feature_idx,freq_clean,freq_hack,hacking_score,class
6201,0.24961245,0.0007807172,-0.24883173,reasoning
6202,0.0,0.0,0.0,stable
6203,0.0,0.0,0.0,stable
6204,0.0002007879,7.478134e-07,-0.00020004009,stable
6205,0.0001699406,0.0,-0.0001699406,stable
6206,0.0,7.478134e-07,7.478134e-07,stable
6207,0.0,0.0,0.0,stable
6208,0.00042681448,7.478134e-07,-0.00042606666,stable
6209,0.24971227,8.225948e-06,-0.24970405,reasoning
6210,0.0,0.0,0.0,stable
6211,0.0,1.2712827e-05,1.2712827e-05,stable
6212,0.0,0.0,0.0,stable
6213,0.0012327704,0.0,-0.0012327704,stable
6214,0.0002540696,0.0,-0.0002540696,stable
6215,0.17676346,0.0,-0.17676346,reasoning
6216,0.0,0.0,0.0,stable
6217,0.0,0.0,0.0,stable
6218,0.0,1.4956267e-06,1.4956267e-06,stable
6219,0.24991418,0.0,-0.24991418,reasoning
6220,0.0,0.00085175945,0.00085175945,stable
6221,5.6086003e-07,1.0469387e-05,9.908527e-06,stable
6222,0.24580757,0.0,-0.24580757,reasoning
6223,1.6825801e-06,0.00019293586,0.00019125328,stable
6224,0.24951935,0.0,-0.24951935,reasoning
6225,0.0,0.0,0.0,stable
6226,1.1217201e-05,7.478134e-07,-1.0469388e-05,stable
6227,0.0,0.00022733527,0.00022733527,stable
6228,0.0,0.0004576618,0.0004576618,stable
6229,0.0,0.0,0.0,stable
6230,5.6086003e-07,0.0,-5.6086003e-07,stable
6231,0.0009142019,0.0,-0.0009142019,stable
6232,0.0,0.0,0.0,stable
6233,0.0,0.0,0.0,stable
6234,1.6825801e-06,7.478134e-07,-9.347667e-07,stable
6235,7.2911807e-06,7.478134e-07,-6.5433674e-06,stable
6236,0.0,0.0,0.0,stable
6237,0.00045317493,0.0,-0.00045317493,stable
6238,1.0095481e-05,0.0008525073,0.0008424118,stable
6239,0.0,0.00046813118,0.00046813118,stable
6240,0.00171511,0.0,-0.00171511,stable
6241,0.00034997668,7.478134e-07,-0.00034922885,stable
6242,0.0,0.00036044605,0.00036044605,stable
6243,0.0,6.730321e-06,6.730321e-06,stable
6244,0.0,0.0007941779,0.0007941779,stable
6245,0.00035558525,0.007418309,0.007062724,hacking
6246,0.00053842564,4.8607868e-05,-0.00048981776,stable
6247,0.0,7.478134e-07,7.478134e-07,stable
6248,1.6825801e-06,0.0,-1.6825801e-06,stable
6249,0.0,0.0008240903,0.0008240903,stable
6250,0.0,4.9355684e-05,4.9355684e-05,stable
6251,0.00036119387,0.0,-0.00036119387,stable
6252,0.0006489151,0.0036642859,0.0030153708,stable
6253,5.6086003e-07,0.0012996997,0.0012991388,stable
6254,0.0,0.0,0.0,stable
6255,0.0,0.0,0.0,stable
6256,0.0,7.478134e-07,7.478134e-07,stable
6257,5.6086003e-07,2.4677842e-05,2.4116982e-05,stable
6258,0.24989961,0.0,-0.24989961,reasoning
6259,1.1778061e-05,7.478134e-07,-1.1030248e-05,stable
6260,1.7386661e-05,0.0006977099,0.0006803232,stable
6261,0.0003679242,0.0,-0.0003679242,stable
6262,1.6825801e-06,0.0,-1.6825801e-06,stable
6263,0.0,1.8695335e-05,1.8695335e-05,stable
6264,0.0,7.478134e-07,7.478134e-07,stable
6265,5.6086003e-07,0.0,-5.6086003e-07,stable
6266,0.0,0.001186032,0.001186032,stable
6267,0.0,7.478134e-07,7.478134e-07,stable
6268,0.24574868,8.151166e-05,-0.24566717,reasoning
6269,0.00026304336,0.0,-0.00026304336,stable
6270,0.0,8.225948e-06,8.225948e-06,stable
6271,5.6086003e-07,0.0,-5.6086003e-07,stable
6272,0.0,0.0,0.0,stable
6273,0.0,0.0,0.0,stable
6274,0.00021817455,7.478134e-07,-0.00021742674,stable
6275,5.6086003e-07,0.00020415305,0.0002035922,stable
6276,5.6086003e-07,7.478134e-07,1.8695334e-07,stable
6277,5.6086003e-07,0.0,-5.6086003e-07,stable
6278,1.6825801e-06,7.478134e-07,-9.347667e-07,stable
